Item,Count
T1105,8
T1071/001,7
T1059/003,7
T1083,7
T1036/004,7
T1588/002,7
T1082,7
T1047,7
T1087/002,6
T1059/001,6
T1140,6
T1190,6
T1070/004,6
T1036/005,6
T1027/002,6
T1566/001,6
T1566/002,6
T1204/001,6
T1078,6
T1583/001,5
T1560/001,5
T1547/001,5
T1059/005,5
T1555/003,5
T1005,5
T1587/001,5
T1203,5
T1133,5
T1018,5
T1053/005,5
T1553/002,5
T1204/002,5
T1056/001,5
T1003/003,5
T1090,5
T1016,5
T1049,5
T1033,5
T1068,4
T1562/001,4
T1057,4
T1090/003,4
T1021/001,4
T1021/002,4
T1505/003,4
T1218/011,4
T1102/002,4
T1074/001,4
T1041,4
T1567/002,4
T1046,4
T1012,4
T1573/001,4
T1583/006,3
T1595/002,3
T1213/003,3
T1585/001,3
T1562/004,3
T1090/001,3
T1539,3
T1195/002,3
T1218/005,3
T1552/004,3
T1078/002,3
T1560/003,3
T1543/003,3
T1486,3
T1048/003,3
T1574/001,3
T1656,3
T1570,3
T1112,3
T1027,3
T1027/013,3
T1003/001,3
T1594,3
T1584/004,3
T1585/002,3
T1589/002,3
T1036/008,3
T1571,3
T1608/001,3
T1124,3
T1095,3
T1598/003,3
T1572,3
T1087/004,2
T1098/001,2
T1098/003,2
T1098/005,2
T1037,2
T1110/003,2
T1059/006,2
T1586/003,2
T1584/001,2
T1213,2
T1484/002,2
T1114/002,2
T1546/003,2
T1546/008,2
T1589/001,2
T1665,2
T1562/002,2
T1070/006,2
T1621,2
T1003/002,2
T1003/006,2
T1069/002,2
T1566/003,2
T1090/002,2
T1021/007,2
T1016/001,2
T1199,2
T1078/004,2
T1087/001,2
T1119,2
T1110,2
T1059/004,2
T1555,2
T1001/003,2
T1484/001,2
T1573/002,2
T1008,2
T1070/001,2
T1070/003,2
T1104,2
T1588/003,2
T1069,2
T1542/003,2
T1055,2
T1596/005,2
T1564/008,2
T1098,2
T1583/004,2
T1010,2
T1485,2
T1132/001,2
T1561/002,2
T1591,2
T1591/004,2
T1564/001,2
T1106,2
T1588/004,2
T1021/004,2
T1489,2
T1218,2
T1497/001,2
T1518,2
T1218/007,2
T1102,2
T1136,2
T1590/004,2
T1040,2
T1087/003,2
T1584/005,2
T1036,2
T1588/006,2
T1219,2
T1593,2
T1660,2
T1217,2
T1074,2
T1006,2
T1598,2
T1584/008,2
T1548/002,1
T1098/002,1
T1037/004,1
T1110/001,1
T1651,1
T1059/009,1
T1586/002,1
T1136/003,1
T1001/002,1
T1074/002,1
T1587/003,1
T1482,1
T1568,1
T1573,1
T1048/002,1
T1606/001,1
T1606/002,1
T1562/008,1
T1070/008,1
T1556/007,1
T1027/001,1
T1027/003,1
T1027/006,1
T1003/004,1
T1090/004,1
T1021/006,1
T1528,1
T1649,1
T1558/003,1
T1553/005,1
T1550/001,1
T1550/003,1
T1550/004,1
T1078/003,1
T1134,1
T1098/007,1
T1583/007,1
T1595/003,1
T1071/002,1
T1071/004,1
T1197,1
T1059/007,1
T1136/001,1
T1030,1
T1568/002,1
T1480/001,1
T1574/006,1
T1562/006,1
T1599,1
T1135,1
T1496/001,1
T1014,1
T1593/002,1
T1218/001,1
T1569/002,1
T1550/002,1
T1102/001,1
T1056/002,1
T1134/002,1
T1557/001,1
T1560,1
T1560/002,1
T1547/009,1
T1622,1
T1491/001,1
T1587/002,1
T1561/001,1
T1189,1
T1574/013,1
T1070,1
T1202,1
T1534,1
T1036/003,1
T1027/007,1
T1027/009,1
T1055/001,1
T1620,1
T1593/001,1
T1505/004,1
T1608/002,1
T1218/010,1
T1614/001,1
T1529,1
T1221,1
T1497/003,1
T1220,1
T0865,1
T1480,1
T1052/001,1
T1036/007,1
T1027/016,1
T1219/002,1
T1091,1
T1608,1
T1218/004,1
T1218/014,1
T1098/004,1
T1110/002,1
T1602/002,1
T1070/002,1
T1583,1
T1586/001,1
T1554,1
T1136/002,1
T1543/002,1
T1491/002,1
T1499,1
T1592/002,1
T1589/003,1
T1590/001,1
T1591/002,1
T1490,1
T1036/010,1
T1027/010,1
T1505/001,1
T1072,1
T1195,1
T1409,1
T0895,1
T0803,1
T0804,1
T0805,1
T0807,1
T0885,1
T0884,1
T0813,1
T0814,1
T0816,1
T0819,1
T0822,1
T0823,1
T0867,1
T0826,1
T0827,1
T0828,1
T0831,1
T0849,1
T0886,1
T0846,1
T0853,1
T0894,1
T0857,1
T0855,1
T0859,1
T1580,1
T1538,1
T1530,1
T1213/002,1
T1213/005,1
T1114,1
T1657,1
T1556/006,1
T1556/009,1
T1578/002,1
T1069/003,1
T1566/004,1
T1598/001,1
T1598/004,1
T1552/001,1
T1204,1
T1451,1
T1583/003,1
T1584/003,1
T1587/004,1
T1546,1
T1222/002,1
T1592,1
T1589,1
T1590,1
T1590/006,1
T1564/013,1
T1070/007,1
T1654,1
T1120,1
T1069/001,1
T1055/009,1
T1113,1
T1518/001,1
T1614,1
T1007,1
T1552,1
